Numero,Frequence,Jours_Depuis_Tirage,Ecart_Moyen_Tirages
1,79,3,11.294871794871796
2,80,31,11.063291139240507
3,102,13,8.663366336633663
4,89,31,9.954545454545455
5,96,6,9.221052631578948
6,105,15,8.548076923076923
7,101,48,8.7
8,94,29,9.376344086021506
9,95,3,9.446808510638299
10,83,29,10.74390243902439
11,84,59,10.36144578313253
12,100,29,8.88888888888889
13,100,17,8.95959595959596
14,79,66,11.102564102564102
15,105,48,8.375
16,84,8,10.63855421686747
17,89,29,9.931818181818182
18,80,6,11.30379746835443
19,92,3,9.802197802197803
20,86,15,10.235294117647058
21,86,45,9.882352941176471
22,98,20,9.123711340206185
23,81,94,10.7
24,101,10,8.91
25,91,10,9.88888888888889
26,100,8,9.01010101010101
27,88,15,10.229885057471265
28,102,15,8.792079207920793
29,86,6,10.505882352941176
30,98,6,9.175257731958762
31,105,45,8.384615384615385
32,90,3,9.831460674157304
33,76,8,11.8
34,92,13,9.637362637362637
35,96,92,8.989473684210527
36,88,13,10.011494252873563
37,87,15,10.279069767441861
38,99,27,8.948979591836734
39,87,17,10.209302325581396
40,86,52,10.141176470588235
41,94,13,9.494623655913978
42,98,24,9.1340206185567
43,76,6,11.92
44,96,3,9.421052631578947
45,89,10,9.897727272727273
46,96,24,9.010526315789473
47,91,85,9.11111111111111
48,90,17,9.876404494382022
49,90,17,9.9438202247191
