,somme_tirage
0,179
1,103
2,107
3,99
4,130
5,108
6,119
7,90
8,191
9,108
10,113
11,134
12,139
13,161
14,99
15,147
16,110
17,148
18,58
19,139
20,132
21,160
22,147
23,164
24,78
25,139
26,134
27,143
28,100
29,98
30,130
31,61
32,138
33,133
34,101
35,97
36,126
37,120
38,140
39,97
40,142
41,164
42,175
43,127
44,150
45,164
46,98
47,118
48,133
49,95
50,168
51,139
52,105
53,147
54,148
55,181
56,127
57,161
58,110
59,151
60,175
61,138
62,110
63,162
64,158
65,112
66,76
67,141
68,102
69,99
70,153
71,99
72,182
73,102
74,114
75,113
76,116
77,104
78,123
79,198
80,92
81,151
82,159
83,109
84,165
85,105
86,143
87,122
88,121
89,120
90,111
91,137
92,104
93,123
94,96
95,146
96,115
97,117
98,110
99,126
100,75
101,163
102,123
103,143
104,120
105,150
106,141
107,110
108,101
109,152
110,126
111,108
112,97
113,128
114,158
115,107
116,186
117,132
118,136
119,80
120,141
121,106
122,134
123,97
124,88
125,124
126,133
127,136
128,55
129,108
130,126
131,161
132,166
133,119
134,122
135,136
136,180
137,160
138,97
139,131
140,140
141,133
142,127
143,61
144,121
145,194
146,99
147,158
148,104
149,143
150,152
151,94
152,82
153,119
154,107
155,187
156,78
157,170
158,128
159,95
160,150
161,145
162,137
163,161
164,54
165,82
166,118
167,110
168,150
169,112
170,162
171,175
172,122
173,144
174,101
175,141
176,158
177,116
178,111
179,140
180,138
181,104
182,168
183,152
184,106
185,105
186,162
187,136
188,131
189,126
190,105
191,103
192,125
193,101
194,102
195,132
196,157
197,72
198,134
199,98
200,70
201,170
202,164
203,105
204,135
205,129
206,94
207,155
208,79
209,129
210,155
211,102
212,156
213,142
214,105
215,118
216,134
217,63
218,138
219,110
220,103
221,83
222,122
223,71
224,101
225,142
226,156
227,173
228,170
229,157
230,117
231,90
232,129
233,148
234,179
235,146
236,113
237,97
238,138
239,132
240,112
241,82
242,138
243,90
244,125
245,120
246,121
247,129
248,86
249,116
250,55
251,139
252,129
253,134
254,155
255,66
256,157
257,103
258,137
259,115
260,159
261,153
262,172
263,144
264,152
265,114
266,52
267,127
268,122
269,139
270,69
271,98
272,163
273,143
274,120
275,191
276,88
277,158
278,121
279,72
280,104
281,98
282,86
283,156
284,131
285,149
286,200
287,123
288,95
289,105
290,119
291,131
292,109
293,113
294,81
295,138
296,146
297,119
298,115
299,90
300,147
301,119
302,71
303,152
304,126
305,148
306,141
307,135
308,162
309,143
310,142
311,144
312,157
313,65
314,142
315,133
316,121
317,132
318,160
319,130
320,96
321,158
322,138
323,166
324,142
325,124
326,103
327,101
328,163
329,134
330,167
331,127
332,129
333,142
334,137
335,84
336,169
337,125
338,163
339,130
340,149
341,167
342,114
343,119
344,73
345,163
346,115
347,104
348,146
349,150
350,134
351,165
352,152
353,147
354,190
355,172
356,103
357,140
358,184
359,67
360,80
361,148
362,136
363,118
364,114
365,120
366,127
367,122
368,106
369,125
370,205
371,122
372,108
373,133
374,116
375,98
376,84
377,124
378,124
379,100
380,92
381,190
382,123
383,138
384,141
385,126
386,140
387,96
388,106
389,134
390,137
391,120
392,70
393,123
394,133
395,104
396,140
397,82
398,192
399,163
400,101
401,99
402,96
403,97
404,88
405,163
406,60
407,209
408,126
409,104
410,159
411,117
412,169
413,162
414,156
415,154
416,80
417,138
418,112
419,112
420,162
421,103
422,138
423,145
424,167
425,112
426,180
427,99
428,96
429,132
430,132
431,143
432,98
433,142
434,150
435,81
436,123
437,140
438,166
439,138
440,99
441,118
442,173
443,108
444,117
445,109
446,101
447,159
448,53
449,104
450,83
451,74
452,170
453,120
454,112
455,121
456,143
457,135
458,150
459,147
460,144
461,163
462,160
463,81
464,170
465,104
466,179
467,152
468,120
469,139
470,112
471,89
472,121
473,143
474,98
475,112
476,163
477,161
478,65
479,94
480,169
481,138
482,131
483,77
484,118
485,155
486,82
487,146
488,151
489,81
490,152
491,158
492,76
493,124
494,175
495,120
496,113
497,137
498,91
499,125
500,93
501,140
502,132
503,111
504,141
505,139
506,134
507,142
508,128
509,77
510,139
511,159
512,123
513,121
514,55
515,157
516,130
517,100
518,64
519,137
520,154
521,126
522,114
523,105
524,188
525,94
526,126
527,100
528,127
529,84
530,110
531,92
532,156
533,180
534,148
535,147
536,143
537,99
538,112
539,119
540,169
541,134
542,139
543,70
544,149
545,138
546,118
547,146
548,149
549,125
550,117
551,105
552,108
553,91
554,177
555,112
556,123
557,138
558,133
559,168
560,97
561,99
562,136
563,106
564,84
565,182
566,197
567,113
568,96
569,125
570,173
571,73
572,110
573,71
574,115
575,79
576,136
577,138
578,123
579,109
580,179
581,106
582,123
583,134
584,107
585,94
586,101
587,122
588,99
589,113
590,136
591,146
592,82
593,82
594,142
595,129
596,132
597,181
598,98
599,89
600,129
601,71
602,156
603,165
604,172
605,127
606,149
607,137
608,111
609,130
610,170
611,81
612,145
613,94
614,110
615,71
616,78
617,122
618,133
619,117
620,101
621,132
622,157
623,86
624,122
625,144
626,133
627,102
628,118
629,166
630,77
631,130
632,166
633,125
634,53
635,108
636,98
637,95
638,141
639,137
640,153
641,150
642,70
643,102
644,105
645,95
646,127
647,96
648,124
649,104
650,80
651,105
652,175
653,160
654,155
655,125
656,75
657,135
658,190
659,123
660,131
661,126
662,85
663,95
664,96
665,148
666,100
667,170
668,154
669,128
670,93
671,124
672,151
673,143
674,110
675,156
676,103
677,115
678,158
679,124
680,163
681,61
682,133
683,174
684,127
685,182
686,117
687,113
688,159
689,79
690,125
691,114
692,140
693,100
694,138
695,114
696,103
697,85
698,162
699,183
700,137
701,149
702,104
703,55
704,100
705,86
706,125
707,94
708,81
709,145
710,115
711,142
712,125
713,181
714,132
715,123
716,160
717,99
718,166
719,153
720,83
721,136
722,116
723,140
724,136
725,147
726,135
727,115
728,66
729,92
730,158
731,112
732,74
733,98
734,106
735,145
736,113
737,178
738,124
739,146
740,139
741,169
742,101
743,110
744,183
745,149
746,148
747,139
748,126
749,95
750,88
751,128
752,73
753,153
754,143
755,76
756,94
757,146
758,87
759,131
760,113
761,153
762,158
