n1,n2,count
7,11,17
6,28,16
15,45,16
9,15,16
8,46,16
12,26,16
26,42,16
17,30,15
13,31,15
6,12,15
8,42,15
6,32,15
12,15,15
28,40,14
19,22,14
5,26,14
42,43,14
7,15,14
7,31,14
13,46,14
31,37,14
4,22,14
3,17,14
31,40,14
3,15,14
3,22,14
14,45,14
29,44,14
6,35,14
6,13,13
16,26,13
3,28,13
39,49,13
14,34,13
11,28,13
3,49,13
38,41,13
15,44,13
23,28,13
5,15,13
8,41,13
31,36,13
9,19,13
6,24,13
3,31,13
25,38,13
9,28,13
11,32,13
10,19,13
23,42,12
4,45,12
12,25,12
28,37,12
19,41,12
26,31,12
8,48,12
6,17,12
22,35,12
41,42,12
24,31,12
7,12,12
5,6,12
39,47,12
8,31,12
9,26,12
25,34,12
27,44,12
25,47,12
16,41,12
6,48,12
19,29,12
37,38,12
13,22,12
35,46,12
26,27,12
7,19,12
9,12,12
10,38,12
22,36,12
31,43,12
6,15,12
12,13,12
3,13,12
28,38,12
15,34,12
31,34,12
22,46,12
2,46,12
32,34,12
7,47,12
27,46,12
21,31,12
10,49,12
38,45,12
31,38,12
5,44,11
5,9,11
38,39,11
8,35,11
5,33,11
27,41,11
22,40,11
24,38,11
13,27,11
5,10,11
22,34,11
34,38,11
24,32,11
18,26,11
24,40,11
24,45,11
30,43,11
21,47,11
7,24,11
31,39,11
4,38,11
48,49,11
30,45,11
14,44,11
20,47,11
9,20,11
15,19,11
4,15,11
6,25,11
9,36,11
3,18,11
26,30,11
5,25,11
33,42,11
15,24,11
31,45,11
6,36,11
15,33,11
35,39,11
16,21,11
30,48,11
35,48,11
13,26,11
24,39,11
3,40,11
25,37,11
28,41,11
3,8,11
25,28,11
22,32,11
3,46,11
44,46,11
35,42,11
12,31,11
7,42,11
18,49,11
2,13,11
7,29,11
21,24,11
26,28,11
4,7,11
22,28,11
9,39,11
42,47,11
13,24,11
13,28,10
15,23,10
12,17,10
34,36,10
2,30,10
19,26,10
30,41,10
29,39,10
13,39,10
5,24,10
17,37,10
22,33,10
19,38,10
24,41,10
2,4,10
9,33,10
32,46,10
2,47,10
3,36,10
37,40,10
8,27,10
5,29,10
20,32,10
10,30,10
13,49,10
34,41,10
22,37,10
2,35,10
17,23,10
5,37,10
8,24,10
36,45,10
31,42,10
10,12,10
11,34,10
11,49,10
19,24,10
31,48,10
25,46,10
2,38,10
15,39,10
18,41,10
3,48,10
30,40,10
10,15,10
17,44,10
6,7,10
20,36,10
3,42,10
5,42,10
15,37,10
24,34,10
20,34,10
39,45,10
22,42,10
20,29,10
3,34,10
34,44,10
